,,,------------REGISTERED VOTERS------------,,,,-------------DEMOCRATS--------------,,,,---------------REPUBLICANS---------------,,,,---------------OTHER PARTIES--------------,,,
,,,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
,STATE,,,,,,,,,,,,,,,,,
,% VOTING,,69.09,74.32,63.15,57.47,68.34,70.60,67.44,58.35,81.83,83.71,51.62,71.62,56.32,62.38,47.24,49.03
,PAR 50,,37787,25522,11361,904,16128,7338,8625,165,12450,11825,366,259,9209,6359,2370,480
,# VOTING,,27342,19649,7217,476,11463,5464,5910,89,10481,10100,208,173,5398,4085,1099,214
,% VOTING,,72.36,76.99,63.52,52.65,71.08,74.46,68.52,53.94,84.18,85.41,56.83,66.80,58.62,64.24,46.37,44.58
,PAR 51,,33413,20489,11068,1856,13465,4658,8360,447,10495,9745,311,439,9453,6086,2397,970
,# VOTING,,23428,15298,7151,979,9460,3392,5852,216,8604,8127,169,308,5364,3779,1130,455
,% VOTING,,70.12,74.66,64.61,52.75,70.26,72.82,70.00,48.32,81.98,83.40,54.34,70.16,56.74,62.09,47.14,46.91
,PAR 52,,186881,152783,21568,12530,43161,24642,15667,2852,88555,83912,576,4067,55165,44229,5325,5611
,# VOTING,,141042,117525,14783,8734,32027,18498,11500,2029,72843,69324,340,3179,36172,29703,2943,3526
,% VOTING,,75.47,76.92,68.54,69.70,74.20,75.07,73.40,71.14,82.26,82.62,59.03,78.17,65.57,67.16,55.27,62.84
,PAR 53,,83711,57428,23216,3067,30826,12935,17142,749,29269,27733,695,841,23616,16760,5379,1477
,# VOTING,,58294,42450,13992,1852,20969,9281,11241,447,23498,22543,324,631,13827,10626,2427,774
,% VOTING,,69.64,73.92,60.27,60.38,68.02,71.75,65.58,59.68,80.28,81.29,46.62,75.03,58.55,63.40,45.12,52.40
,PAR 54,,3544,1549,1961,34,2160,415,1734,11,858,825,27,6,526,309,200,17
,# VOTING,,2619,1224,1374,21,1585,322,1256,7,719,698,15,6,315,204,103,8
,% VOTING,,73.90,79.02,70.07,61.76,73.38,77.59,72.43,63.64,83.80,84.61,55.56,100.00,59.89,66.02,51.50,47.06
,PAR 55,,65591,48323,12285,4983,19993,9972,8852,1169,25903,24175,349,1379,19695,14176,3084,2435
,# VOTING,,46636,36136,7566,2934,13787,7035,6121,631,21386,20181,169,1036,11463,8920,1276,1267
,% VOTING,,71.10,74.78,61.59,58.88,68.96,70.55,69.15,53.98,82.56,83.48,48.42,75.13,58.20,62.92,41.37,52.03
,PAR 56,,15920,11565,3886,469,5565,2433,3011,121,6787,6501,153,133,3568,2631,722,215
,# VOTING,,11328,8773,2305,250,3726,1738,1930,58,5571,5409,67,95,2031,1626,308,97
,% VOTING,,71.16,75.86,59.32,53.30,66.95,71.43,64.10,47.93,82.08,83.20,43.79,71.43,56.92,61.80,42.66,45.12
,PAR 57,,38635,32054,5260,1321,14038,10056,3736,246,14322,13681,215,426,10275,8317,1309,649
,# VOTING,,27528,23722,3026,780,9626,7061,2415,150,11893,11492,110,291,6009,5169,501,339
,% VOTING,,71.25,74.01,57.53,59.05,68.57,70.22,64.64,60.98,83.04,84.00,51.16,68.31,58.48,62.15,38.27,52.23
,PAR 58,,26283,20756,3408,2119,7200,4519,2243,438,10991,10142,132,717,8092,6095,1033,964
,# VOTING,,17377,14424,1809,1144,4519,2985,1322,212,8413,7857,65,491,4445,3582,422,441
,% VOTING,,66.11,69.49,53.08,53.99,62.76,66.05,58.94,48.40,76.54,77.47,49.24,68.48,54.93,58.77,40.85,45.75
,PAR 59,,28716,19665,8380,671,12274,5484,6601,189,9660,9278,223,159,6782,4903,1556,323
,# VOTING,,19708,14138,5189,381,8204,3687,4410,107,7672,7462,101,109,3832,2989,678,165
,% VOTING,,68.63,71.89,61.92,56.78,66.84,67.23,66.81,56.61,79.42,80.43,45.29,68.55,56.50,60.96,43.57,51.08
,PAR 60,,25152,16423,8202,527,9895,3282,6486,127,9162,8814,200,148,6095,4327,1516,252
,# VOTING,,18396,12576,5509,311,7094,2390,4627,77,7536,7314,113,109,3766,2872,769,125
,% VOTING,,73.14,76.58,67.17,59.01,71.69,72.82,71.34,60.63,82.25,82.98,56.50,73.65,61.79,66.37,50.73,49.60
,PAR 61,,17863,10428,7084,351,8600,2757,5735,108,5005,4839,101,65,4258,2832,1248,178
,# VOTING,,14236,8552,5466,218,6916,2213,4629,74,4369,4253,65,51,2951,2086,772,93
,% VOTING,,79.70,82.01,77.16,62.11,80.42,80.27,80.71,68.52,87.29,87.89,64.36,78.46,69.30,73.66,61.86,52.25
,PAR 62,,7330,6172,1072,86,2173,1387,770,16,3378,3275,66,37,1779,1510,236,33
,# VOTING,,5113,4498,570,45,1425,958,462,5,2671,2615,30,26,1017,925,78,14
,% VOTING,,69.75,72.88,53.17,52.33,65.58,69.07,60.00,31.25,79.07,79.85,45.45,70.27,57.17,61.26,33.05,42.42
,PAR 63,,8011,5497,2367,147,3182,1086,2065,31,3041,2955,37,49,1788,1456,265,67
,# VOTING,,6337,4463,1774,100,2497,873,1604,20,2579,2517,22,40,1261,1073,148,40
,% VOTING,,79.10,81.19,74.95,68.03,78.47,80.39,77.68,64.52,84.81,85.18,59.46,81.63,70.53,73.70,55.85,59.70
,PAR 64,,8932,6364,2433,135,3436,1582,1832,22,3151,3072,43,36,2345,1710,558,77
,# VOTING,,6291,4817,1409,65,2268,1119,1142,7,2630,2589,18,23,1393,1109,249,35
,% VOTING,,70.43,75.69,57.91,48.15,66.01,70.73,62.34,31.82,83.47,84.28,41.86,63.89,59.40,64.85,44.62,45.45
